Party,50PLUS,BBB,BIJ1,BVNL,CDA,ChristenUnie,D66,DENK,FVD,GroenLinks,GroenLinks-PvdA,JA21,LPF,NSC,PvdA,PvdD,PVV,SGP,SP,VVD,Volt
50PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BBB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
BIJ1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BVNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDA,0,0,0,0,0,4,3,0,0,0,0,0,1,0,1,0,0,0,0,6,0
ChristenUnie,0,0,0,0,4,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0
D66,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
DENK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GroenLinks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GroenLinks-PvdA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JA21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LPF,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NSC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
PvdA,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PvdD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PVV,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
SGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VVD,0,1,0,0,6,2,3,0,0,0,0,0,1,1,1,0,1,0,0,0,0
Volt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
