"left_right","conservative_progressive","party"
-0.13559322,0.850493653,"Volt"
-0.960451977,0.827926657,"PvdD"
-0.550847458,0.675599436,"GroenLinks-PvdA"
-0.036723164,0.585331453,"D66"
-0.686440678,0.322990127,"DENK"
-0.779661017,0.218617772,"SP"
-0.324858757,0.215796897,"ChristenUnie"
-0.087570621,-0.069111425,"NSC"
0.225988701,-0.238363893,"CDA"
0.505649718,-0.311706629,"VVD"
0.096045198,-0.418899859,"BBB"
0.271186441,-0.418899859,"SGP"
0.087570621,-0.726375176,"PVV"
0.776836158,-0.89280677,"JA21"
0.63559322,-0.926657264,"FVD"
-0.708628006,0.664772727,"GroenLinks"
